--11-Oct-2010 11:30:22
Researcher: Default Researcher
Subject: Unnamed
85; lvl10_6; 417527; 527; P1
86; lvl10_6; 423152; 6152; P2
87; lvl8_2; 427254; 254; P1
88; lvl8_2; 432691; 5691; P2
89; lvl4_4; 438575; 1575; P1
90; lvl4_4; 444250; 7250; P2
91; lvl6_1; 447541; 541; P1
92; lvl6_1; 453230; 6230; P2
93; lvl8_1; 458177; 1177; P1
94; lvl8_1; 463150; 6150; P2
95; lvl2_3; 467258; 258; P1
96; lvl2_3; 472393; 5393; P2
97; lvl9_3; 477336; 336; P1
98; lvl9_3; 482100; 5100; P2
99; lvl3_1; 487302; 302; P1
100; lvl3_1; 492552; 5552; P2
101; lvl1_4; 498341; 1341; P1
102; lvl1_4; 502162; 5162; P2
103; lvl2_5; 507922; 922; P1
104; lvl2_5; 513673; 6673; P2
105; lvl6_4; 518998; 1998; P1
106; lvl6_4; 522037; 5037; P2
107; lvl5_2; 527490; 490; P1
108; lvl5_2; 532356; 5356; P2
109; lvl9_6; 538145; 1145; P1
110; lvl9_6; 544087; 7087; P2
111; lvl10_5; 548549; 1549; P1
112; lvl10_5; 553339; 6339; P2
113; lvl1_1; 559287; 2287; P1
114; lvl1_1; 562578; 5578; P2
115; lvl5_3; 568031; 1031; P1
116; lvl5_3; 573618; 6618; P2
117; lvl1_6; 578109; 1109; P1
118; lvl1_6; 582541; 5541; P2
119; lvl10_4; 587252; 252; P1
120; lvl10_4; 593044; 6044; P2
--11-Oct-2010 17:48:15
Researcher: Maria
Subject: Rouven
1; lvl5_1; 0; 3000; P1
2; lvl5_1; 5588; 8588; P2
3; lvl3_3; 9575; 2575; P1
4; lvl3_3; 15041; 8041; P2
5; lvl8_4; 20133; 3133; P1
6; lvl8_4; 25368; 8368; P2
7; lvl3_2; 29709; 2709; P1
8; lvl3_2; 32813; 5813; P2
9; lvl9_2; 38744; 1744; P1
10; lvl9_2; 44193; 7193; P2
11; lvl7_4; 48858; 1858; P1
12; lvl7_4; 52068; 5068; P2
13; lvl6_3; 57521; 521; P1
14; lvl6_3; 63153; 6153; P2
15; lvl7_5; 68604; 1604; P1
16; lvl7_5; 73714; 6714; P2
17; lvl4_6; 78661; 1661; P1
18; lvl4_6; 83665; 6665; P2
19; lvl6_2; 89268; 2268; P1
